%Standard GP regression with Matern52 kernel and scaled data and labels
%Pearson_correlation_coefficient:0.6835,P-value:0.0000
%Spearman_correlation_coefficient:0.6798,P-value:0.0000
%RMSE:1.661691903394221
%signal_variance:2.0720,noise_variance:1.2425,ARD_lengthscales:[0.5635391671597015, 0.1761136188831155, 0.00975611882440974, 0.3059186296641128, 0.011816965474375869, 0.01071732985842849, 0.17237366253715375, 0.03753147174619869, 0.0009843501010722369, 0.33647156569021786, 0.06652547124420316, 0.6489608522298973]
name,f_pred_mean,f_pred_var,y_true,BertzCT,Chi1v,EState_VSA1,MolLogP,MolMR,TPSA,num_rotors,vina_gauss1,vina_gauss2,vina_hydrogen,vina_hydrophobic,vina_repulsion
10gs,0.10,0.77,-0.05352368421052578,0.00035360181428869197, 0.1358983795633418, 0.010967134099006752, -0.21743070330305145, 0.010617335058092035, 0.008434485490405468, 0.12296536288571142, 0.014788379146399487, 0.00018888305881489915, 0.18838724886043393, 0.0023069991972973223, 0.0018912791996163305
1a30,-1.35,1.32,-2.1535236842105263,-0.00036710471017997054, -0.13167708401131148, -0.0021834189019395212, -0.6084156655630979, -0.007892873203853285, 0.016148073198389772, 0.14718117854521096, -0.005899891093099254, -0.00014682576044450587, 0.06714660462526081, -0.017751228860156048, 0.042839919778830296
1a69,-0.58,0.30,-1.1535236842105263,-0.0006280997337261336, -0.2175946439741692, -0.013776407572096007, -0.25087320347306186, -0.01628320057011129, 0.004253809371575212, -0.09497697804978453, -0.0008547056242490073, -0.0005496945987364418, -0.046981160915822814, -0.04531516898233418, -0.004471334504837098
1abf,-2.62,0.28,-1.0335236842105262,-0.0012971014464240166, -0.41755796681236906, -0.01891237015315361, -0.250303807896955, -0.02895717631238459, -0.006164243301555854, -0.09497697804978453, -0.027247081576654508, -0.0017438265161911818, 0.22668602461899154, -0.03882758303504536, 0.01888353587946587
1ai5,-2.42,0.29,-2.733523684210526,-0.0011694489516032114, -0.37198687934048574, -0.01535768464972438, -0.05281844225055808, -0.0255170931057992, -0.007486682460063999, -0.14340860936878363, -0.025082688729393624, -0.001615643704557821, -0.26621464025916874, 0.0006906860654880767, -0.17733551875996367
1ajp,-2.19,0.25,-4.223523684210527,-0.0012280717671093989, -0.3877374958960451, -0.01655923002646853, -0.09998337580474323, -0.027098355706757987, -0.00800181864390148, -0.11919279370928407, -0.029541079060598094, -0.0018401649978858228, -0.24977052031718355, -0.01677399454088412, -0.2118954998784161
1ajq,-1.37,0.35,-2.1435236842105265,-0.0013775329209647566, -0.38193515664723277, -0.020808564961348242, -0.03827038528102776, -0.029691592129396305, -0.015778837299895623, -0.16762442502828317, -0.02538435595900748, -0.0023335966015142, -0.1580810951794521, -0.018686877430299155, -0.16868053631259114
1apw,1.59,1.01,1.5464763157894739,0.0005360844212063498, 0.059104253659831615, 0.012699036505554803, 0.10851030431305317, 0.016140958125282687, 0.0027699096181329234, 0.3651235194807069, 0.012448663529427606, 0.000951429624818064, 0.32554289490579413, 0.009333584940072866, -0.04241301291793539
1avn,-3.05,0.70,-2.5535236842105262,-0.0013021599115854857, -0.4704981679162374, -0.019072135376100086, -0.11859312121716917, -0.03111039103194089, -0.012666876547534152, -0.14340860936878363, -0.05353081592077831, -0.003265613861374791, -0.2876416497195464, -0.04531516898233418, -0.17238639074613
1ax0,-2.00,0.29,-3.3235236842105262,-0.0010716943203873998, -0.3389093013243084, -0.014782836495072253, -0.33417577625749567, -0.022769811039377634, -0.0005707869770519107, -0.04654534673078543, -0.027630585662917737, -0.0017840896107888984, 0.06761198538358253, -0.04070611727578144, -0.09241778533930292
1axz,-2.81,0.31,-3.253523684210526,-0.001292467922993408, -0.3997465617298009, -0.018980653931524486, -0.34782229023152356, -0.02828572944639758, -0.0022757339735587838, -0.07076116239028497, -0.03214283539841993, -0.0022248323789432894, 0.05544561436030827, -0.04531516898233418, -0.14302795379119976
1b11,0.28,0.79,0.9364763157894735,0.0005045017319987289, 0.07035579278425592, 0.01184708177182805, 0.16304891057782206, 0.01412314567428175, -0.001049402312035237, 0.14718117854521096, -0.015503651988037392, 0.00034868524481440307, 0.10837595299950512, 0.013454052837682967, -0.04875251578455301
1b39,-2.29,0.59,0.4664763157894738,0.00013036827572979447, 0.3550754025913801, -0.00836781180571959, -0.030365276699410835, -0.0029076727156284606, 0.027730948734974222, 0.05031791590721277, 0.010494437450963205, 0.0012881076216800862, 0.24627881977668356, -0.04531516898233418, 0.34545294085741535
1b7h,0.52,0.44,1.5664763157894734,0.00014861307321987658, -0.09845658988178478, 0.005183168768023525, -0.39029920020909553, 0.0013418754051869202, 0.011346542649038966, 0.2682602568427087, 0.028619259576137906, 0.0013667464839311571, 0.5312985618811141, 0.0010867178523180816, 0.20250567037539932
1b8o,1.66,0.30,4.186476315789474,-0.0004982267032067435, -0.20983173535553584, -0.011160515857485937, -0.33136675808203525, -0.014834819577281689, 0.003194704754804863, -0.09497697804978453, -0.005338466641983305, -0.000359420275855539, 0.12710694705103717, -0.042524820372706156, -0.1246056416343778
