%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 30 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.6469574085024297
%.kernel.kernels[0].lengthscales: [0.26988721 0.24695062 0.45591099 0.54945895]
%.kernel.kernels[1].variance: 0.258822858758518
%.likelihood.variance: 2.0513374547481504
%loglikelihood: -7045.755543781186
%RMSE:1.739
%Pearson_correlation_coefficient:0.648,P-value:0.000
%Spearman_correlation_coefficient:0.652,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7
10gs,-0.6771,0.3416,-0.0535,0.1101,0.348,-0.7059,-0.7281
1a30,-0.4191,0.4992,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999
1a69,-0.5248,0.0879,-1.1535,-0.3204,-0.6182,-0.8145,-1.214
1abf,-1.3936,0.0996,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148
1ai5,-1.1247,0.0904,-2.7335,-0.9418,-1.151,-0.1715,-0.971
1ajp,-1.9145,0.1010,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223
1ajq,-1.3321,0.0984,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162
1apw,1.2667,0.1406,1.5465,0.5546,0.5276,0.3523,0.094
1avn,-2.4687,0.3571,-2.5535,-1.9036,-1.2816,-0.385,-1.214
1ax0,-1.4006,0.0952,-3.3235,-1.04,-1.0548,-1.0849,-1.214
1axz,-1.0589,0.0629,-3.2535,-1.2969,-1.2721,-1.1292,-1.214
1b11,0.8135,0.1478,0.9365,0.2033,0.4965,0.5294,0.107
1b39,-1.4475,0.1621,0.4665,0.7508,0.1283,-0.0986,-1.214
1b7h,0.5412,0.2577,1.5665,0.7967,0.1463,-1.2671,0.456
1b8o,1.0394,0.1157,4.1865,-0.2095,-0.4904,-1.0758,-1.214
1b9j,0.5191,0.2894,-0.4935,0.8063,0.1285,-1.3115,0.7134
1bcu,-0.7833,0.1134,-3.1735,-0.9025,-0.7021,0.6497,0.1055
1bma,0.8277,0.2660,-1.8635,0.358,0.7578,1.2558,0.3499
1bra,-1.6366,0.0639,-4.6335,-1.377,-1.2488,-0.3983,-0.6862
1bxo,2.4497,0.3466,3.5465,1.7364,1.4263,0.6615,0.3225
1c84,-0.1180,0.1253,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157
1d7j,-2.7963,0.2835,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148
1det,-2.4345,0.2788,-2.1535,-0.9319,-0.2728,-0.6584,-1.214
1df8,0.2792,0.1441,3.2465,-0.3955,-0.8944,-0.3025,-0.379
1dhi,0.0502,0.2484,0.8065,0.2853,0.2714,-0.8765,0.3983
1e1v,-0.3587,0.0773,-1.5335,-0.4022,-0.5833,0.4469,-0.3999
1e5a,-0.4739,0.6256,1.1865,-1.5161,-1.4161,0.997,0.7053
1e66,0.7447,0.2184,3.4365,0.0352,-0.2118,1.3596,1.2059
1ela,0.6102,0.1949,-0.0935,0.1162,0.3251,0.5407,1.2059
1elb,0.3487,0.1948,0.6965,0.0673,0.4087,0.7071,1.185
1f4e,-0.0402,0.1757,-3.4935,-0.8778,-0.6455,-0.1681,0.1697
1f4f,0.2753,0.5534,-1.8335,0.2608,-0.0808,-1.379,0.9549
1f4g,0.1346,0.4142,0.0265,0.9626,0.2873,-1.5311,0.9549
1f5k,-1.6044,0.0638,-2.7135,-1.364,-1.2488,-0.3983,-0.6862
1fcx,2.0375,0.3850,0.7365,0.8816,0.4517,1.291,2.0289
1fcz,1.8121,0.2306,2.7665,0.666,0.149,1.1866,1.3158
1fd0,1.9607,0.3654,1.9465,0.9646,0.4873,1.3356,1.8068
1fh7,-1.4628,0.1703,-1.2135,-0.6007,-0.7846,-1.6435,-1.214
1fh8,-1.1299,0.1605,0.4365,-0.8072,-0.8068,-1.3264,-1.214
1fh9,-0.6756,0.1214,-0.0235,-0.3638,-0.7775,-1.3927,-1.214
1fkb,1.1114,0.7017,3.2465,0.94,3.5241,1.7675,3.427
1fki,-0.5330,0.2394,0.5465,-0.3495,0.4205,1.0845,0.7762
1fkn,1.1153,0.5655,2.3465,2.3645,2.6978,-2.1261,1.5131
1flr,0.8896,0.0892,3.5465,0.0456,-0.0416,0.6748,0.0846
1fo0,1.8699,0.7011,-0.8635,4.4805,3.3633,-2.1118,0.107
1ftm,-0.9054,0.0824,1.1565,-0.7727,-1.0519,-1.0058,-0.9148
1fzk,1.0105,0.4932,1.9465,2.7587,3.3387,-1.3626,2.0474
1g7q,0.0665,0.5842,-0.3935,1.9569,2.132,-3.603,1.3538
1gni,-0.1884,0.2096,1.6165,-0.4417,-0.2995,1.3341,0.456
1gpk,-0.8475,0.1190,-1.0835,-0.2393,-0.4012,0.2579,0.1701
1gz9,-0.7579,0.4285,-2.9435,0.0016,0.0633,-2.1533,-0.9148
1h23,2.1518,0.1715,1.8965,1.4138,1.2569,0.9558,1.5405
1ha2,-0.3133,0.1394,-0.9135,-0.4143,-0.1425,0.9754,-0.144
1hfs,3.2125,0.6806,2.2465,2.9854,2.3295,1.9564,3.2623
1hi4,-1.5730,0.1454,-1.9635,-0.3868,-0.0838,-0.1346,-1.214
1hk4,1.0373,0.7162,-1.1435,-0.5408,-0.56,0.6353,4.0312
1if7,-0.3439,0.2594,4.0665,-0.5533,0.1935,0.5888,0.8621
1j16,-1.6677,0.0642,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862
1j17,0.5859,0.1892,-1.2335,0.3562,0.7813,0.984,1.3966
1jaq,0.1045,0.1278,-1.9735,-0.4569,-0.6385,-0.6727,-0.379
1jq9,0.2568,0.6061,1.9965,1.2966,1.6616,-1.0833,1.1705
1jqd,-1.0205,0.1382,-1.2935,0.2693,-0.1741,-1.2116,-0.9649
1jqe,0.8740,0.3251,-0.0135,0.1364,0.4326,1.2668,1.8239
