%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 37 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.4548148046489175
%.kernel.kernels[0].lengthscales: [1.42426002 0.00560392 0.02419932 0.31817885]
%.kernel.kernels[1].variance: 0.3912203092398508
%.likelihood.variance: 1.2114163134908214
%loglikelihood: -7060.563832388581
%RMSE:1.710
%Pearson_correlation_coefficient:0.671,P-value:0.000
%Spearman_correlation_coefficient:0.675,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7
10gs,-0.4047,1.4566,-0.0535,0.1101,0.348,-0.7059,-0.7281
1a30,-0.7134,1.4589,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999
1a69,-0.3860,1.0908,-1.1535,-0.3204,-0.6182,-0.8145,-1.214
1abf,-2.6670,0.3910,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148
1ai5,-0.9410,1.4239,-2.7335,-0.9418,-1.151,-0.1715,-0.971
1ajp,-2.5148,0.3261,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223
1ajq,-2.1244,1.0619,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162
1apw,0.5566,1.4551,1.5465,0.5546,0.5276,0.3523,0.094
1avn,0.3112,0.5294,-2.5535,-1.9036,-1.2816,-0.385,-1.214
1ax0,-2.4113,0.2207,-3.3235,-1.04,-1.0548,-1.0849,-1.214
1axz,-1.0782,0.7516,-3.2535,-1.2969,-1.2721,-1.1292,-1.214
1b11,0.9935,0.6542,0.9365,0.2033,0.4965,0.5294,0.107
1b39,-1.1861,0.1044,0.4665,0.7508,0.1283,-0.0986,-1.214
1b7h,0.5010,1.4333,1.5665,0.7967,0.1463,-1.2671,0.456
1b8o,2.3388,0.2507,4.1865,-0.2095,-0.4904,-1.0758,-1.214
1b9j,0.5807,1.4607,-0.4935,0.8063,0.1285,-1.3115,0.7134
1bcu,0.0551,0.6650,-3.1735,-0.9025,-0.7021,0.6497,0.1055
1bma,0.6333,1.4574,-1.8635,0.358,0.7578,1.2558,0.3499
1bra,-2.2404,0.0949,-4.6335,-1.377,-1.2488,-0.3983,-0.6862
1bxo,1.7353,1.4588,3.5465,1.7364,1.4263,0.6615,0.3225
1c84,0.1405,1.0327,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157
1d7j,-1.8813,1.4583,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148
1det,-1.8661,0.6879,-2.1535,-0.9319,-0.2728,-0.6584,-1.214
1df8,1.3583,0.1367,3.2465,-0.3955,-0.8944,-0.3025,-0.379
1dhi,-0.2527,0.2672,0.8065,0.2853,0.2714,-0.8765,0.3983
1e1v,-0.0753,1.4373,-1.5335,-0.4022,-0.5833,0.4469,-0.3999
1e5a,-0.6997,1.4606,1.1865,-1.5161,-1.4161,0.997,0.7053
1e66,0.8362,1.4581,3.4365,0.0352,-0.2118,1.3596,1.2059
1ela,0.4723,1.4565,-0.0935,0.1162,0.3251,0.5407,1.2059
1elb,0.4378,1.4564,0.6965,0.0673,0.4087,0.7071,1.185
1f4e,-0.7546,1.4561,-3.4935,-0.8778,-0.6455,-0.1681,0.1697
1f4f,0.0769,1.4617,-1.8335,0.2608,-0.0808,-1.379,0.9549
1f4g,0.6821,1.4629,0.0265,0.9626,0.2873,-1.5311,0.9549
1f5k,-2.2238,0.0954,-2.7135,-1.364,-1.2488,-0.3983,-0.6862
1fcx,1.7256,1.4610,0.7365,0.8816,0.4517,1.291,2.0289
1fcz,1.3936,1.4588,2.7665,0.666,0.149,1.1866,1.3158
1fd0,1.7667,1.4601,1.9465,0.9646,0.4873,1.3356,1.8068
1fh7,-1.2864,0.4931,-1.2135,-0.6007,-0.7846,-1.6435,-1.214
1fh8,-0.1878,0.6749,0.4365,-0.8072,-0.8068,-1.3264,-1.214
1fh9,-0.8758,1.4571,-0.0235,-0.3638,-0.7775,-1.3927,-1.214
1fkb,1.1731,1.4831,3.2465,0.94,3.5241,1.7675,3.427
1fki,0.0006,1.4575,0.5465,-0.3495,0.4205,1.0845,0.7762
1fkn,1.3223,1.4688,2.3465,2.3645,2.6978,-2.1261,1.5131
1flr,1.9093,0.4512,3.5465,0.0456,-0.0416,0.6748,0.0846
1fo0,3.1428,1.4804,-0.8635,4.4805,3.3633,-2.1118,0.107
1ftm,0.5108,0.4284,1.1565,-0.7727,-1.0519,-1.0058,-0.9148
1fzk,1.4270,0.4501,1.9465,2.7587,3.3387,-1.3626,2.0474
1g7q,0.5345,1.4781,-0.3935,1.9569,2.132,-3.603,1.3538
1gni,0.3411,0.3278,1.6165,-0.4417,-0.2995,1.3341,0.456
1gpk,0.0037,1.4553,-1.0835,-0.2393,-0.4012,0.2579,0.1701
1gz9,-1.4976,0.6811,-2.9435,0.0016,0.0633,-2.1533,-0.9148
1h23,1.9043,1.4494,1.8965,1.4138,1.2569,0.9558,1.5405
1ha2,-0.1157,1.4562,-0.9135,-0.4143,-0.1425,0.9754,-0.144
1hfs,3.9215,1.4695,2.2465,2.9854,2.3295,1.9564,3.2623
1hi4,-1.7835,0.3097,-1.9635,-0.3868,-0.0838,-0.1346,-1.214
1hk4,0.7282,1.4892,-1.1435,-0.5408,-0.56,0.6353,4.0312
1if7,1.6773,0.6728,4.0665,-0.5533,0.1935,0.5888,0.8621
1j16,-2.2551,0.0946,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862
1j17,-0.5124,0.3184,-1.2335,0.3562,0.7813,0.984,1.3966
1jaq,-0.5979,1.4556,-1.9735,-0.4569,-0.6385,-0.6727,-0.379
1jq9,0.7656,1.4600,1.9965,1.2966,1.6616,-1.0833,1.1705
1jqd,-1.0563,0.0967,-1.2935,0.2693,-0.1741,-1.2116,-0.9649
1jqe,0.8427,1.4586,-0.0135,0.1364,0.4326,1.2668,1.8239
1jys,-2.1937,0.4300,-2.9335,-1.4828,-1.2174,-0.1567,-1.214
1k4g,-0.4405,1.4553,-0.6035,-0.5019,-0.4364,0.2031,-0.4432
1k9s,-0.4099,1.2268,0.0665,-0.1669,-0.5348,-0.9012,-1.214
1kv1,-0.0290,0.6658,-0.5135,-0.384,-0.4689,1.1003,-0.1584
1l2s,-0.2839,1.4562,-1.8635,-0.6633,-0.7205,0.3457,0.3394
1l83,-2.5391,0.4290,-3.0535,-1.7068,-1.5179,0.3829,-1.214
1li3,-1.0650,1.4573,-2.2035,-1.4619,-1.4183,0.4935,-0.4223
1li6,-1.4334,1.4497,-2.6535,-1.6971,-1.4327,0.2709,-0.4079
1lol,-0.3414,0.7045,-0.0635,-0.3369,-0.216,-0.7474,-1.214
1loq,-2.1818,0.1680,-2.7535,-0.3557,-0.4945,-0.7093,-1.214
1m0n,1.0226,1.4493,-4.2335,0.595,-0.1164,0.8876,0.1986
1m0q,0.5113,1.4574,-2.5635,0.2727,-0.3959,0.6028,-0.6155
1m2q,-0.0320,1.4557,-0.3535,-0.2589,-0.5198,0.5613,-0.4223
1mq6,1.0303,1.4595,4.6965,0.646,0.4704,1.5376,-0.1884
1n2v,-1.7569,0.6648,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357
1nc1,-0.5445,0.6979,-0.3335,-0.0227,-0.5308,-0.1381,-0.68
1ndw,-0.2448,1.3093,-1.2235,-0.3912,-0.5457,0.217,-0.4144
1ndy,0.0082,1.4123,-0.2835,-0.0346,-0.1097,0.5723,0.0561
1ndz,1.8404,1.4507,1.6565,1.5653,1.1632,0.7932,0.6191
1nfy,0.3989,1.4551,2.4365,0.3055,0.3935,0.1875,0.5837
1nhu,-0.0078,1.4582,-0.7935,-0.5349,0.2219,1.4086,0.8698
1nja,-0.7563,0.6615,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501
1nje,-0.7715,0.6613,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501
1nny,1.5746,1.4595,1.2065,1.6728,2.208,0.34,1.6253
1nvq,0.7781,1.4606,1.7965,0.9592,1.2758,0.7317,-0.387
1nwl,-0.5338,1.4556,-4.0635,-0.3664,0.0813,-0.2099,-0.1007
1o0h,-1.4644,0.0665,-0.5335,-0.0312,-0.1291,-0.2696,-1.214
1o3f,-0.1762,0.6514,1.5065,-0.2617,0.1494,0.6865,0.3485
1o3p,0.0083,1.3105,0.2065,0.0082,0.0703,0.3936,1.2189
1om1,-0.0200,1.4541,0.3165,-0.0498,-0.0829,0.2411,-0.4223
1p1q,0.5028,0.4281,-1.5635,-0.78,-1.0519,-1.0058,-0.9148
1pb9,-1.7827,1.4433,-2.8335,-1.5958,-1.4668,-0.8582,-1.214
1pbq,-0.6228,1.4382,-0.1835,-0.7117,-0.982,0.3595,-0.6862
1ppm,1.3577,1.4578,-0.6535,1.2085,1.2043,1.0091,0.4062
1pr5,-0.5064,0.7312,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501
1pxo,0.2074,1.4541,2.2465,-0.1077,-0.3792,0.8315,-0.387
1pz5,0.7779,1.4719,-1.0535,2.0405,3.1383,-1.9879,1.2082
1q7a,-0.0713,1.3960,0.7365,-0.4483,-0.1916,0.9396,0.6477
1q8t,0.0024,1.4123,-1.6935,-0.363,-0.5788,0.3121,0.7264
1rdi,-1.4869,0.2138,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148
1rdj,-3.2287,0.5269,-4.7935,-1.644,-1.2766,-0.8126,-0.9148
1rdl,-1.4735,0.8768,-4.2135,-1.6012,-1.2721,-1.1292,-1.214
1re8,1.8005,1.4590,3.0665,1.4416,0.6968,0.4826,1.1755
1rnt,-1.4629,0.4997,-1.2635,-0.5375,-0.2728,-0.6584,-1.214
1s39,-1.1421,1.4550,1.2465,-1.1721,-0.9942,0.019,-0.6862
1sl3,1.5035,1.4572,5.3965,1.2735,0.5592,0.3807,0.54
1slg,-0.3433,1.4717,-2.5535,1.1519,2.3798,-2.4523,0.1632
1sqa,0.0702,1.4562,2.7565,0.0172,0.5274,0.1196,0.8685
1sv3,-1.0349,1.4578,-2.1035,-1.303,-1.2607,-0.1186,0.0846
1syh,-0.8415,1.4438,-0.0435,-0.4014,-0.6758,-1.2503,-0.379
1tmn,-0.2038,1.4572,0.8465,0.1415,0.8381,-0.237,0.0716
1toi,-0.9762,1.2703,-2.4035,-1.1212,-1.1866,-0.023,-0.4144
1toj,-0.9134,1.2717,-3.0635,-1.069,-1.1866,-0.023,-0.4144
1tok,-1.5879,1.4584,-3.9835,-1.457,-1.5596,-1.048,-0.6854
1trd,-0.4782,0.1679,-1.0535,-1.4304,-1.3868,-0.2977,-1.214
1tsy,-1.0352,0.1770,-1.4935,-0.5265,-0.5168,-0.3922,-1.214
1ttm,-0.4742,1.4564,0.8965,-0.7465,-0.275,0.3698,0.6701
1tyr,-0.8938,1.1036,0.5465,-1.2971,-0.21,1.1782,1.5064
1u1b,0.0813,1.4694,1.3465,0.8462,1.9049,0.0631,-0.9148
1u2y,-2.2316,0.4005,-4.7135,-1.2398,-1.197,-1.1162,-1.214
1u33,-0.0500,1.4614,-1.8535,0.958,0.2531,-2.2554,-1.214
1utp,-1.9339,0.6574,-5.0135,-1.3623,-1.0187,0.2488,-0.136
1uwt,-1.7665,0.3172,-0.4835,-0.7969,-1.197,-1.1162,-1.214
1v2o,-1.9734,0.3198,-1.7235,-0.5976,0.3213,-0.5563,0.3838
1v48,0.0201,1.4554,1.3465,-0.0874,-0.3549,0.3313,-0.6573
1vfn,-0.7585,0.6634,-0.8535,-1.3172,-1.1655,-0.2457,-1.214
1vzq,0.5626,1.4562,0.9865,0.9485,0.6058,-0.8287,0.0846
1x1z,-0.0964,1.4075,4.6065,0.255,-0.4763,-0.8,-1.214
1xgj,-0.6878,1.4555,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884
1y1m,-1.2890,1.4370,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573
1y6q,2.7490,0.2510,5.2465,-0.0804,-0.3795,-0.359,-0.9439
1ydt,0.8228,1.4557,0.8665,0.5575,0.2757,0.6497,0.3489
1zc9,-0.7274,1.2987,-3.2335,-0.6892,-0.814,-0.0371,-0.9148
1zoe,0.4333,1.4633,0.9465,-0.6317,-0.9669,1.3048,1.569
1zs0,0.9246,1.3825,-0.3035,0.3656,0.0788,0.9961,0.585
1zvx,0.9340,1.3829,2.7665,0.3738,0.0788,0.9961,0.585
2aou,0.6621,1.4571,1.2765,0.0526,0.0606,1.0224,1.2318
2ayr,1.9962,1.4624,2.8365,1.1954,1.1983,1.3593,2.7383
2b1v,0.1171,1.4534,-0.7135,-0.3892,-0.5026,0.7255,0.4127
2b7d,0.4007,1.4593,2.2465,0.5968,0.9154,-0.7793,1.3976
2baj,0.9670,1.4597,1.9465,0.3602,-0.0325,1.749,-0.1584
2bak,1.4152,1.4579,0.9765,1.3596,1.5439,0.859,0.6477
2bok,-0.1628,1.4148,0.0965,0.3754,0.4303,-0.7682,-0.6862
2brb,-0.0579,1.4599,-1.5935,-0.1793,-0.0044,1.0836,-0.971
2brm,-0.0117,1.4585,-0.5635,-0.1474,0.0454,1.002,-0.7281
2bz6,0.5871,1.4558,0.6365,0.5595,0.1753,-0.2108,0.4048
2bzz,0.4825,1.4295,-0.0235,1.7001,1.8861,-0.1794,-1.214
2c02,-1.6680,0.1441,-2.4135,-0.3694,-0.1291,-0.2696,-1.214
2ceq,-0.5911,0.1796,0.8265,-0.6656,-1.0165,-0.6958,-1.214
2cer,0.1278,1.4556,2.7665,0.1345,-0.3332,-0.1458,-0.4144
2cet,0.0166,1.4553,1.5665,0.0354,-0.3332,-0.1458,-0.4144
2cgr,-0.0468,1.4551,0.8265,-0.0725,0.1376,0.0284,0.3276
2ctc,-1.3056,1.2498,-2.5635,-0.9657,-1.165,-0.3401,-0.971
2d0k,-0.3079,1.4555,-1.4335,-0.0202,0.2332,-0.973,0.3983
2d1o,1.2559,0.6381,1.2465,0.6458,0.7374,-0.1627,0.942
2d3u,0.4002,1.2862,0.4665,-0.1676,0.0129,0.7135,0.6268
2d3z,0.2138,1.4558,0.1865,-0.214,-0.1089,0.7959,0.6477
2drc,-0.5547,0.4131,3.4365,-0.0375,0.2714,-0.8765,0.3983
2er9,1.9641,1.4658,0.9465,2.3991,3.2866,0.2677,1.5549
2f01,1.3480,0.1344,6.5465,-0.4089,-0.8944,-0.3025,-0.379
2f80,2.9749,0.0558,1.7265,1.3327,1.0178,0.5951,0.8987
2fai,-0.0134,1.4393,-0.2135,-0.3496,-0.4066,0.8013,0.3918
2fdp,1.8389,1.4582,1.1365,1.3288,1.3567,1.3127,1.7113
2flb,-1.0646,0.9611,-0.7135,-0.1624,-0.042,0.1067,-0.4223
2fzc,-0.8885,1.4529,-3.7535,-0.7618,-0.8361,-0.3441,-1.214
2g5u,0.2287,1.4590,2.0365,-0.6419,-1.0185,1.5203,0.3276
2g8r,-1.5485,1.4594,-2.4635,-0.6984,-0.1343,-1.6154,-1.214
2g94,1.9534,1.4407,3.0665,1.8212,1.5943,0.3032,0.9773
2gss,-0.7498,1.4551,-1.5135,-1.0226,-0.8261,0.563,-0.1645
2hdq,-1.4858,1.4572,-5.0535,-1.602,-1.436,-0.1023,-0.7162
2i0d,1.9983,1.4581,5.6465,1.695,1.5969,0.9904,1.4474
2j77,-1.2838,0.0964,-1.5635,-1.0918,-1.2037,-1.367,-1.214
2j78,-1.7296,0.3196,-0.0335,-0.7641,-1.197,-1.1162,-1.214
2qwb,0.0727,0.4568,-3.7135,-0.4501,-0.7588,-1.7408,-1.214
2qwd,-1.1107,1.4577,-1.6035,-0.4574,-0.7254,-1.724,-1.214
