%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 27 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.2174604005848535
%.kernel.kernels[0].lengthscales: [0.74200542]
%.kernel.kernels[1].variance: 0.058852411391530864
%.likelihood.variance: 2.779583238621436
%loglikelihood: -7352.294417235487
%RMSE:1.866
%Pearson_correlation_coefficient:0.586,P-value:0.000
%Spearman_correlation_coefficient:0.589,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2
10gs,0.3117,0.0033,-0.0535,0.1101
1a30,0.1202,0.0032,-2.1535,-0.0856
1a69,-0.1289,0.0030,-1.1535,-0.3204
1abf,-1.0689,0.0040,-1.0335,-1.0165
1ai5,-0.9340,0.0037,-2.7335,-0.9418
1ajp,-1.1761,0.0042,-4.2235,-1.0726
1ajq,-1.7598,0.0060,-2.1435,-1.3603
1apw,0.5939,0.0043,1.5465,0.5546
1avn,-2.4129,0.0737,-2.5535,-1.9036
1ax0,-1.1131,0.0041,-3.3235,-1.04
1axz,-1.6317,0.0054,-3.2535,-1.2969
1b11,0.3901,0.0035,0.9365,0.2033
1b39,0.6909,0.0050,0.4665,0.7508
1b7h,0.7201,0.0052,1.5665,0.7967
1b8o,-0.0104,0.0031,4.1865,-0.2095
1b9j,0.7267,0.0053,-0.4935,0.8063
1bcu,-0.8670,0.0036,-3.1735,-0.9025
1bma,0.4959,0.0038,-1.8635,0.358
1bra,-1.7928,0.0062,-4.6335,-1.377
1bxo,1.9759,0.0110,3.5465,1.7364
1c84,-0.4920,0.0031,-1.4535,-0.6427
1d7j,-2.4141,0.0830,-3.1535,-1.9265
1det,-0.9170,0.0037,-2.1535,-0.9319
1df8,-0.2096,0.0030,3.2465,-0.3955
1dhi,0.4501,0.0036,0.8065,0.2853
1e1v,-0.2168,0.0030,-1.5335,-0.4022
1e5a,-2.0478,0.0094,1.1865,-1.5161
1e66,0.2418,0.0033,3.4365,0.0352
1ela,0.3171,0.0034,-0.0935,0.1162
1elb,0.2724,0.0033,0.6965,0.0673
1f4e,-0.8263,0.0036,-3.4935,-0.8778
1f4f,0.4331,0.0036,-1.8335,0.2608
1f4g,0.8642,0.0060,0.0265,0.9626
1f5k,-1.7672,0.0060,-2.7135,-1.364
1fcx,0.7854,0.0056,0.7365,0.8816
1fcz,0.6452,0.0047,2.7665,0.666
1fd0,0.8663,0.0060,1.9465,0.9646
1fh7,-0.4407,0.0030,-1.2135,-0.6007
1fh8,-0.7162,0.0034,0.4365,-0.8072
1fh9,-0.1754,0.0030,-0.0235,-0.3638
1fkb,0.8404,0.0059,3.2465,0.94
1fki,-0.1600,0.0030,0.5465,-0.3495
1fkn,1.4635,0.0242,2.3465,2.3645
1flr,0.2518,0.0033,3.5465,0.0456
1fo0,0.0134,0.7136,-0.8635,4.4805
1ftm,-0.6657,0.0033,1.1565,-0.7727
1fzk,0.9578,0.0483,1.9465,2.7587
1g7q,1.9825,0.0140,-0.3935,1.9569
1gni,-0.2598,0.0029,1.6165,-0.4417
1gpk,-0.0422,0.0030,-1.0835,-0.2393
1gz9,0.2089,0.0032,-2.9435,0.0016
1h23,1.5643,0.0081,1.8965,1.4138
1ha2,-0.2299,0.0029,-0.9135,-0.4143
1hfs,0.8528,0.0719,2.2465,2.9854
1hi4,-0.2002,0.0030,-1.9635,-0.3868
1hk4,-0.3705,0.0030,-1.1435,-0.5408
1if7,-0.3849,0.0030,4.0665,-0.5533
1j16,-1.8155,0.0063,-2.6135,-1.3886
1j17,0.4949,0.0038,-1.2335,0.3562
1jaq,-0.2764,0.0029,-1.9735,-0.4569
1jq9,1.3585,0.0075,1.9965,1.2966
1jqd,0.4391,0.0036,-1.2935,0.2693
1jqe,0.3348,0.0034,-0.0135,0.1364
1jys,-1.9909,0.0083,-2.9335,-1.4828
1k4g,-0.3263,0.0030,-0.6035,-0.5019
1k9s,0.0348,0.0031,0.0665,-0.1669
1kv1,-0.1971,0.0030,-0.5135,-0.384
1l2s,-0.5179,0.0031,-1.8635,-0.6633
1l83,-2.3050,0.0246,-3.0535,-1.7068
1li3,-1.9536,0.0077,-2.2035,-1.4619
1li6,-2.2952,0.0233,-2.6535,-1.6971
1lol,-0.1465,0.0030,-0.0635,-0.3369
1loq,-0.1667,0.0030,-2.7535,-0.3557
1m0n,0.6120,0.0044,-4.2335,0.595
1m0q,0.4414,0.0036,-2.5635,0.2727
1m2q,-0.0631,0.0030,-0.3535,-0.2589
1mq6,0.6356,0.0046,4.6965,0.646
1n2v,-0.7263,0.0034,-2.3735,-0.8139
1nc1,0.1846,0.0032,-0.3335,-0.0227
1ndw,-0.2049,0.0030,-1.2235,-0.3912
1ndy,0.1726,0.0032,-0.2835,-0.0346
1ndz,1.8022,0.0093,1.6565,1.5653
1nfy,0.4635,0.0037,2.4365,0.3055
1nhu,-0.3637,0.0030,-0.7935,-0.5349
1nja,-0.2647,0.0029,-0.1435,-0.4462
1nje,-0.2795,0.0029,-2.6535,-0.4597
1nny,1.9267,0.0103,1.2065,1.6728
1nvq,0.8605,0.0059,1.7965,0.9592
1nwl,-0.1782,0.0030,-4.0635,-0.3664
1o0h,0.1760,0.0032,-0.5335,-0.0312
1o3f,-0.0661,0.0030,1.5065,-0.2617
1o3p,0.2154,0.0032,0.2065,0.0082
1om1,0.1571,0.0032,0.3165,-0.0498
1p1q,-0.6762,0.0033,-1.5635,-0.78
1pb9,-2.1712,0.0134,-2.8335,-1.5958
1pbq,-0.5810,0.0032,-0.1835,-0.7117
1ppm,1.2072,0.0070,-0.6535,1.2085
1pr5,-0.4256,0.0030,-2.5335,-0.5881
1pxo,0.0972,0.0031,2.2465,-0.1077
1pz5,1.9196,0.0155,-1.0535,2.0405
1q7a,-0.2670,0.0029,0.7365,-0.4483
1q8t,-0.1745,0.0030,-1.6935,-0.363
1rdi,-2.2099,0.0156,-4.3935,-1.6242
1rdj,-2.2351,0.0173,-4.7935,-1.644
1rdl,-2.1788,0.0138,-4.2135,-1.6012
1re8,1.6116,0.0083,3.0665,1.4416
1rnt,-0.3667,0.0030,-1.2635,-0.5375
1s39,-1.3751,0.0046,1.2465,-1.1721
1sl3,1.3182,0.0074,5.3965,1.2735
1slg,1.1158,0.0068,-2.5535,1.1519
1sqa,0.2242,0.0032,2.7565,0.0172
1sv3,-1.6443,0.0054,-2.1035,-1.303
1syh,-0.2160,0.0030,-0.0435,-0.4014
1tmn,0.3392,0.0034,0.8465,0.1415
1toi,-1.2721,0.0044,-2.4035,-1.1212
1toj,-1.1689,0.0042,-3.0635,-1.069
1tok,-1.9448,0.0076,-3.9835,-1.457
1trd,-1.8956,0.0070,-1.0535,-1.4304
1tsy,-0.3542,0.0030,-1.4935,-0.5265
1ttm,-0.6286,0.0033,0.8965,-0.7465
1tyr,-1.6321,0.0054,0.5465,-1.2971
1u1b,0.7562,0.0054,1.3465,0.8462
1u2y,-1.5144,0.0050,-4.7135,-1.2398
1u33,0.8593,0.0059,-1.8535,0.958
1utp,-1.7639,0.0060,-5.0135,-1.3623
1uwt,-0.7010,0.0034,-0.4835,-0.7969
1v2o,-0.4369,0.0030,-1.7235,-0.5976
1v48,0.1183,0.0031,1.3465,-0.0874
1vfn,-1.6732,0.0055,-0.8535,-1.3172
1vzq,0.8492,0.0059,0.9865,0.9485
1x1z,0.4289,0.0036,4.6065,0.255
1xgj,-0.4696,0.0031,-0.4535,-0.6246
1y1m,-1.8266,0.0064,-4.6335,-1.3943
1y6q,0.1256,0.0032,5.2465,-0.0804
1ydt,0.5952,0.0043,0.8665,0.5575
1zc9,-0.5513,0.0032,-3.2335,-0.6892
1zoe,-0.4783,0.0031,0.9465,-0.6317
1zs0,0.5004,0.0038,-0.3035,0.3656
1zvx,0.5050,0.0038,2.7665,0.3738
2aou,0.2585,0.0033,1.2765,0.0526
2ayr,1.1856,0.0070,2.8365,1.1954
2b1v,-0.2027,0.0030,-0.7135,-0.3892
2b7d,0.6128,0.0044,2.2465,0.5968
2baj,0.4973,0.0038,1.9465,0.3602
2bak,1.4698,0.0078,0.9765,1.3596
2bok,0.5059,0.0038,0.0965,0.3754
2brb,0.0217,0.0031,-1.5935,-0.1793
2brm,0.0554,0.0031,-0.5635,-0.1474
2bz6,0.5961,0.0043,0.6365,0.5595
2bzz,1.9502,0.0106,-0.0235,1.7001
2c02,-0.1814,0.0030,-2.4135,-0.3694
2ceq,-0.5208,0.0031,0.8265,-0.6656
2cer,0.3332,0.0034,2.7665,0.1345
2cet,0.2420,0.0033,1.5665,0.0354
2cgr,0.1338,0.0032,0.8265,-0.0725
2ctc,-0.9761,0.0038,-2.5635,-0.9657
2d0k,0.1871,0.0032,-1.4335,-0.0202
2d1o,0.6355,0.0046,1.2465,0.6458
2d3u,0.0341,0.0031,0.4665,-0.1676
2d3z,-0.0152,0.0031,0.1865,-0.214
2drc,0.1696,0.0032,3.4365,-0.0375
2er9,1.4078,0.0256,0.9465,2.3991
2f01,-0.2241,0.0030,6.5465,-0.4089
2f80,1.4223,0.0077,1.7265,1.3327
2fai,-0.1601,0.0030,-0.2135,-0.3496
2fdp,1.4155,0.0076,1.1365,1.3288
2flb,0.0396,0.0031,-0.7135,-0.1624
2fzc,-0.6501,0.0033,-3.7535,-0.7618
2g5u,-0.4910,0.0031,2.0365,-0.6419
2g8r,-0.5634,0.0032,-2.4635,-0.6984
2g94,2.0093,0.0120,3.0665,1.8212
2gss,-1.0804,0.0040,-1.5135,-1.0226
2hdq,-2.1798,0.0139,-5.0535,-1.602
2i0d,1.9461,0.0105,5.6465,1.695
2j77,-1.2136,0.0043,-1.5635,-1.0918
2j78,-0.6533,0.0033,-0.0335,-0.7641
2qwb,-0.2689,0.0029,-3.7135,-0.4501
2qwd,-0.2770,0.0029,-1.6035,-0.4574
2qwe,0.1530,0.0032,1.0265,-0.0538
2rkm,0.0509,0.0031,-2.5535,-0.1517
2std,-0.0085,0.0031,3.3965,-0.2077
2usn,-0.1693,0.0030,0.0565,-0.3581
3gss,0.5933,0.0043,-0.6335,0.5531
3pce,-1.2466,0.0043,-4.4535,-1.1085
3pch,-1.1239,0.0041,-1.0535,-1.0456
3pcj,-1.0520,0.0039,0.7665,-1.0074
3std,0.6456,0.0047,4.6565,0.6668
4er2,1.2284,0.0071,2.8465,1.2211
4fiv,1.3409,0.0275,0.0665,2.4414
4tln,-1.9894,0.0083,-2.7335,-1.482
5abp,-0.8660,0.0036,0.1865,-0.9019
5er1,0.5243,0.0039,-0.4335,0.4089
6fiv,0.4043,0.0035,1.6265,0.2216
6rnt,-0.6633,0.0033,-4.0835,-0.771
6std,0.1480,0.0032,2.1865,-0.0586
8abp,-0.8767,0.0037,1.5465,-0.9083
1f8b,-0.2416,0.0029,-1.0535,-0.4251
1f8c,-0.2821,0.0029,0.9465,-0.462
1f8d,-0.1854,0.0030,-3.0535,-0.3731
1hnn,-0.7381,0.0034,-0.2135,-0.8217
1igj,0.1356,0.0032,3.5465,-0.0707
1lbk,-0.5062,0.0031,-3.2735,-0.654
1lor,0.4304,0.0036,4.6065,0.257
1n1m,-1.1564,0.0041,-0.7535,-1.0625
1o5b,-1.0806,0.0040,-0.6835,-1.0228
1oyt,0.6145,0.0044,0.7865,0.6006
1ps3,-0.3542,0.0030,-4.1735,-0.5265
1q8u,0.1278,0.0032,-0.4935,-0.0782
1qi0,-0.9699,0.0038,-4.1035,-0.9622
1r5y,-1.0857,0.0040,0.0065,-1.0255
1sln,0.5531,0.0040,0.1865,0.4659
1uto,-1.9060,0.0071,-4.1835,-1.436
1w3k,-0.0398,0.0030,-2.1535,-0.237
1w3l,0.6488,0.0047,-0.1735,0.6733
1w4o,-0.5848,0.0032,-1.2335,-0.7145
1xd0,1.9172,0.0155,0.6665,2.043
1yc1,0.5779,0.0042,-0.2835,0.519
1z95,0.6974,0.0051,0.6665,0.7615
1zea,0.9628,0.0063,-1.2335,1.0454
2cbj,-0.0511,0.0030,1.8165,-0.2476
2fvd,0.6096,0.0044,2.0665,0.5896
2g70,-0.5825,0.0032,1.3165,-0.7128
2hb1,-1.0806,0.0040,-2.6535,-1.0227
2iwx,0.2486,0.0033,0.2265,0.0422
2j62,0.6396,0.0046,4.8865,0.6544
2jdm,-1.5720,0.0051,-1.0535,-1.2678
2jdu,-1.5917,0.0052,0.2665,-1.2774
2jdy,-1.5312,0.0050,-2.0835,-1.248
2obf,0.4104,0.0035,2.3965,0.2297
2ole,0.2470,0.0033,0.7965,0.0406
2p4y,1.6552,0.0085,2.5465,1.468
2pcp,-0.1583,0.0030,2.2465,-0.3479
2qbp,0.6561,0.0048,1.9465,0.6878
2qbr,0.1403,0.0032,-0.1235,-0.0661
2qmj,0.7523,0.0054,-2.2435,0.8412
2r23,0.1253,0.0032,-2.7335,-0.0807
2v00,-0.6436,0.0033,-2.7935,-0.7572
2v7a,0.6373,0.0046,1.8465,0.6496
2vl4,-1.1568,0.0041,-0.4435,-1.0627
2vo5,-0.0339,0.0030,-1.5635,-0.2316
2vot,0.2764,0.0033,0.6865,0.0716
2vvn,-0.2351,0.0029,0.8465,-0.4191
2vw5,0.5388,0.0040,2.0665,0.437
2w66,-0.3290,0.0030,-2.4035,-0.5043
2wbg,0.1658,0.0032,-2.0035,-0.0413
2wca,-0.2050,0.0030,-0.8535,-0.3913
2weg,-1.5409,0.0050,0.0465,-1.2527
2wtv,0.6494,0.0047,2.2865,0.6744
2x00,0.7211,0.0052,4.8765,0.7981
2x0y,-0.1921,0.0030,-1.8535,-0.3793
2x8z,-0.9606,0.0038,1.5065,-0.9569
2xb8,0.4409,0.0036,1.1365,0.2719
2xbv,0.8918,0.0061,1.9765,0.9874
2xdl,-0.3278,0.0030,-3.3535,-0.5032
2xhm,1.2219,0.0071,0.3465,1.2173
2xnb,0.5269,0.0039,0.3765,0.4139
2xys,0.3984,0.0035,0.9665,0.2139
2y5h,0.4775,0.0037,-0.6635,0.3274
2yfe,-0.0357,0.0030,0.1765,-0.2332
2yge,0.6783,0.0049,-1.3935,0.729
2yki,1.3695,0.0075,3.0065,1.3028
2ymd,-0.8369,0.0036,-3.2935,-0.8843
2zjw,0.1050,0.0031,1.2465,-0.1003
2zwz,-1.1159,0.0041,1.3365,-1.0414
2zx6,0.1336,0.0032,4.1465,-0.0726
2zxd,-1.1506,0.0041,-1.2335,-1.0595
3acw,0.1327,0.0032,-1.6935,-0.0735
3ag9,1.2824,0.0073,1.5965,1.2528
3ao4,-0.5342,0.0031,-4.3835,-0.676
3b3s,-1.8665,0.0067,-3.9035,-1.415
3b3w,-1.7372,0.0058,-2.2635,-1.3489
3b68,1.0739,0.0067,1.9465,1.1245
3bfu,-0.9394,0.0038,-0.1835,-0.9449
3bkk,1.5476,0.0081,-0.3735,1.4041
3bpc,-0.2049,0.0030,-1.6535,-0.3912
3cft,-0.9016,0.0037,-2.2635,-0.923
3cj2,-1.0540,0.0040,-1.6035,-1.0085
3coy,0.9051,0.0061,-0.4335,0.9989
3cyx,1.8664,0.0165,1.5465,2.0913
3d4z,-0.6025,0.0032,-1.5635,-0.7276
3dd0,-0.8361,0.0036,2.5465,-0.8838
3dxg,-0.5668,0.0032,-4.0535,-0.701
3e93,1.5549,0.0081,2.3965,1.4084
3ebp,-0.0911,0.0030,-0.5435,-0.2851
3ehy,-0.4057,0.0030,-0.6035,-0.5712
3ejr,0.4559,0.0036,2.1165,0.294
3f17,0.0878,0.0031,2.1765,-0.1167
3f3a,-0.4553,0.0030,-2.2635,-0.6129
3f3c,-0.5446,0.0031,-0.4335,-0.684
3f3e,-1.6003,0.0052,1.2465,-1.2816
3f80,-0.7529,0.0034,-2.2335,-0.8314
3fcq,-1.0000,0.0039,-3.6835,-0.979
3fv1,0.2944,0.0033,2.8465,0.0911
3g0w,0.4236,0.0036,3.0665,0.2476
3g2n,0.1506,0.0032,-2.3635,-0.0561
